,Date,Department,Category,CustomerCode,Price,Quantity
3294,2014-07-28,Kabobs,Chicken,CWM11331L8O,33.0,1.0
3295,2016-12-10,Kabobs,Chicken,CWM11331L8O,33.0,22.0
3296,2015-08-27,Sides,Rice,CPG787692F,9.0,17.0
3297,2016-05-04,Entrees,Beef and Broccoli,CWM11331L8O,29.0,3.0
3298,2016-01-06,Entrees,Beef and Broccoli,CWM11331L8O,26.0,7.0
3299,2015-06-08,Kabobs,Chicken,COX7257Z5S,33.0,1.0
3300,2014-07-06,Sides,Roll,CWM11331L8O,5.0,9.0
3302,2014-07-24,Entrees,Beef and Broccoli,CWM11331L8O,13.0,14.0
3303,2015-03-29,Kabobs,Beef,CWM11331L8O,25.0,11.0
3304,2016-03-29,Sides,Rice,CWM11331L8O,9.0,3.0
3305,2014-02-27,Kabobs,Beef,CWM11331L8O,25.0,12.0
3306,2015-03-11,Kabobs,Chicken,CWM11331L8O,33.0,19.0
3307,2016-07-16,Sides,Roll,CWM11331L8O,5.0,20.0
3308,2014-07-29,Sides,Yogurt,C5H4771MTG,12.0,12.0
3309,2014-07-24,Kabobs,Beef,CWM11331L8O,25.0,10.0
3310,2015-04-11,Kabobs,Chicken,CWM11331L8O,33.0,12.0
3311,2016-03-28,Entrees,Beef and Broccoli,CWM11331L8O,28.0,14.0
3312,2016-04-10,Sides,Yogurt,CWM11331L8O,12.0,14.0
3313,2014-05-07,Entrees,Lamb Chops,CWM11331L8O,32.0,8.0
3314,2014-08-06,Entrees,Lamb Chops,CWM11331L8O,23.0,9.0
3315,2015-05-07,Kabobs,Pork,CWM11331L8O,28.0,4.0
3316,2016-12-05,Sides,Yogurt,CWM11331L8O,12.0,4.0
3317,2016-11-12,Kabobs,Chicken,CWM11331L8O,33.0,10.0
3318,2015-05-28,Kabobs,Chicken,CWM11331L8O,33.0,10.0
3319,2015-01-18,Kabobs,Chicken,CWM11331L8O,33.0,5.0
3320,2016-08-27,Sides,Rice,CWM11331L8O,9.0,15.0
3321,2015-10-20,Sides,Yogurt,CHV82335QM,12.0,3.0
3322,2014-02-25,Sides,Roll,CFN313470P,5.0,23.0
3323,2015-06-08,Kabobs,Lamb,CWM11331L8O,28.0,7.0
